,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
90,2,2,3,3,3,3,4,2,3,2,1,3,3,3,3,3,3,3,4,3,4,5,4,4,5,5,4,4,3,4,4,3,4,4,3,4,4,5,3,4,4,5,4,2,4,2,2,4,4,4,2,26,32,42,38,33
91,1,4,4,3,4,4,5,2,3,3,3,1,4,1,1,2,2,3,3,3,1,5,5,5,5,5,5,5,5,5,5,4,1,5,3,1,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,35,21,50,31,50
92,2,1,5,5,3,5,5,1,1,1,3,5,3,3,1,5,5,5,5,5,5,5,5,5,3,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,1,5,2,5,4,30,42,42,50,38
93,2,5,3,5,4,3,5,5,4,4,2,5,5,5,5,1,5,4,4,1,5,2,5,5,2,2,4,4,5,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,5,5,3,4,4,40,40,37,35,41
94,2,2,3,3,2,4,4,3,4,4,2,5,4,4,4,5,5,4,5,5,5,4,3,2,3,3,3,3,4,2,5,5,1,4,3,2,4,3,3,2,3,5,3,4,2,4,4,3,4,4,3,31,46,32,30,36
95,2,1,2,2,4,2,3,1,3,2,1,1,2,1,1,2,2,2,2,3,1,5,4,4,5,4,5,5,3,4,3,2,4,4,3,2,3,4,4,2,2,4,3,4,5,1,4,3,3,4,3,21,17,42,30,34
96,1,4,2,2,2,2,2,2,1,1,2,4,4,4,3,3,3,2,3,2,3,3,4,1,4,3,3,3,4,3,3,3,3,3,1,1,2,1,3,2,2,4,4,4,4,3,4,4,4,4,3,20,31,31,21,38
97,2,4,5,5,5,5,5,5,1,3,1,3,4,3,3,4,2,2,4,2,4,4,5,3,5,5,3,5,5,5,4,3,1,4,2,1,2,3,4,3,4,4,5,5,5,5,5,5,4,5,5,39,31,44,27,48
98,1,3,5,5,3,4,5,4,4,4,4,3,5,3,1,4,5,5,5,5,5,5,5,5,4,5,3,5,5,4,5,4,3,5,5,5,5,4,3,5,5,5,5,4,5,4,5,4,2,5,5,41,41,46,44,44
99,2,3,3,4,2,5,4,5,2,3,2,2,3,2,2,4,3,3,4,4,3,4,5,4,5,4,5,4,5,5,5,4,4,5,4,4,3,4,4,4,4,3,5,5,5,5,5,5,3,5,5,33,30,46,40,46
100,2,1,3,2,2,1,5,1,2,3,2,2,3,2,3,2,2,2,2,2,4,3,3,4,4,5,5,5,4,4,3,4,3,3,2,1,2,1,4,4,2,2,3,3,3,4,2,4,2,3,2,22,24,40,26,28
101,2,1,2,5,3,5,3,3,1,1,2,2,3,2,1,1,2,4,4,2,4,5,5,5,5,5,4,5,5,5,5,2,2,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,26,25,49,37,50
102,2,1,3,2,2,3,4,1,2,2,2,1,2,1,1,2,1,2,2,3,2,5,4,2,4,5,5,4,4,5,5,2,2,4,3,1,1,3,3,2,3,5,3,5,3,3,5,5,5,4,3,22,17,43,24,41
103,1,1,1,1,1,2,1,1,1,1,1,4,5,4,3,4,4,4,3,5,3,5,2,5,1,5,2,1,3,1,3,4,5,4,5,2,4,5,3,4,4,4,5,3,2,3,5,5,4,2,4,11,39,28,40,37
104,2,2,4,3,3,3,5,2,4,2,1,3,4,2,4,5,4,4,4,4,4,5,5,4,5,3,5,5,4,3,3,3,4,3,2,2,2,5,3,4,5,4,5,4,5,4,5,4,2,5,5,29,38,42,33,43
105,1,2,2,2,3,3,4,2,2,4,2,2,3,2,2,3,3,2,2,3,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,2,2,2,2,2,4,4,5,4,5,4,5,4,3,4,4,26,25,29,26,42
106,2,3,4,3,3,3,3,2,4,2,3,4,3,3,3,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,4,2,4,3,4,3,4,3,4,3,3,3,4,4,4,5,5,4,2,3,4,30,37,41,33,38
107,2,2,5,2,4,3,4,2,1,2,2,1,4,2,2,1,4,2,2,1,3,4,3,1,3,4,3,4,3,3,3,4,1,4,2,1,2,2,2,4,3,3,4,3,3,2,3,5,4,4,3,27,22,31,25,34
108,2,1,3,3,1,3,1,1,1,1,1,2,5,1,1,4,3,1,2,2,2,2,2,5,2,2,4,3,2,2,3,3,1,4,5,1,5,3,3,1,2,1,5,3,1,1,1,3,1,5,1,16,23,27,28,22
109,2,5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,46,42,46,46,46
110,2,4,2,1,1,2,2,1,1,4,1,1,1,1,4,2,4,2,3,1,2,4,5,4,2,2,5,4,4,2,3,5,2,2,3,1,1,5,3,4,5,4,4,5,3,4,4,5,2,5,3,19,21,35,31,39
111,2,1,2,2,4,4,2,4,1,1,1,3,5,4,3,4,4,1,2,4,3,4,3,5,2,3,3,4,3,2,4,4,5,2,2,3,3,1,3,1,4,2,2,3,3,4,4,3,3,5,3,22,33,33,28,32
112,2,5,4,5,5,5,5,5,5,5,4,3,4,3,4,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4,2,3,2,3,1,2,5,3,2,3,4,4,5,5,5,4,3,4,5,48,40,50,27,42
